status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,from_status,when,days_in_from_status,who,to_status,days_since_open,transition,weekday,week_of_year,day,month,year,sec_to_sol,sec_passed_so_far,logsec_to_sol,transictions_so_far,issue_solved_by_assignee,calendar_day,count,count_month_of_year,count_year,team_count
0,2,2009-07-14T22:50:09.480+0000,1,raymie,2009-05-12T12:35:52.868+0000,2009-06-25T18:53:39.609+0000,0,AVRO,14,11,AVRO-29,2078.0,52,2,1,3207.34808336,0,2009-05-12T12:35:52.868+0000,0.0,110,0,0.0,Non-existent to Open,1.0,20.0,12.0,5.0,2009.0,3824266.741,0.0,15.156877305166308,0.0,4,12-5-2009,11,228,2940,2.0
0,2,2009-07-14T22:50:09.257+0000,1,raymie,2009-04-29T18:34:39.366+0000,2009-06-05T18:32:17.730+0000,0,AVRO,14,15,AVRO-25,1552.0,43,0,1,3207.34808595,0,2009-04-29T18:34:39.366+0000,0.0,110,0,0.0,Non-existent to Open,2.0,18.0,29.0,4.0,2009.0,3196658.364,0.0,14.977616560899296,0.0,4,29-4-2009,11,135,2940,2.0
0,2,2009-07-14T22:50:09.257+0000,1,raymie,2009-04-29T18:34:39.366+0000,2009-06-05T18:32:17.730+0000,0,AVRO,14,15,AVRO-25,1552.0,43,0,1,3207.34808595,1,2009-04-29T19:27:31.861+0000,0.0367186921296,129,1,0.0367186921296,Open to Patch Available,2.0,18.0,29.0,4.0,2009.0,3193485.869,3172.495,14.97662362704836,1.0,4,29-4-2009,2,135,2940,2.0
1,2,2017-06-15T18:15:52.682+0000,0,quadra,2017-06-15T16:28:40.404+0000,2017-06-15T16:39:00.711+0000,0,AVRO,13,4,AVRO-2042,3567.0,55,2,3,314.605821125,0,2017-06-15T16:28:40.404+0000,0.0,105,0,0.0,Non-existent to Open,3.0,24.0,15.0,6.0,2017.0,620.307,0.0,6.4302145167775615,0.0,3,15-6-2017,481,807,4030,2.0
1,2,2016-11-05T22:34:47.011+0000,0,rdblue,2016-11-05T22:01:41.735+0000,2016-11-05T22:34:46.830+0000,0,AVRO,13,2,AVRO-1951,299.0,59,2,1,536.358757048,0,2016-11-05T22:01:41.735+0000,0.0,112,0,0.0,Non-existent to Open,5.0,44.0,5.0,11.0,2016.0,1985.095,0.0,7.593422050918154,0.0,3,5-11-2016,467,467,14826,1.0
1,2,2016-09-08T16:05:27.613+0000,0,rdblue,2016-09-04T21:54:07.803+0000,2016-09-08T15:59:50.059+0000,0,AVRO,13,6,AVRO-1908,140.0,40,4,1,594.633024885,0,2016-09-04T21:54:07.803+0000,0.0,112,0,0.0,Non-existent to Open,6.0,35.0,4.0,9.0,2016.0,324342.256,0.0,12.689554582912985,0.0,3,4-9-2016,458,673,14826,1.0
1,2,2016-09-13T17:20:25.874+0000,0,sacharya,2016-08-21T19:46:10.476+0000,2016-09-13T17:20:25.464+0000,0,AVRO,13,12,AVRO-1900,301.0,37,6,1,589.577057659,0,2016-08-21T19:46:10.476+0000,0.0,114,0,0.0,Non-existent to Open,6.0,33.0,21.0,8.0,2016.0,1978454.988,0.0,14.497826788980205,0.0,3,21-8-2016,460,1303,14826,3.0
1,2,2016-09-13T17:20:25.874+0000,0,sacharya,2016-08-21T19:46:10.476+0000,2016-09-13T17:20:25.464+0000,0,AVRO,13,12,AVRO-1900,301.0,37,6,1,589.577057659,1,2016-08-21T20:25:20.482+0000,0.0271991435185,114,1,0.0271991435185,Open to Patch Available,6.0,33.0,21.0,8.0,2016.0,1976104.982,2350.006,14.49663828442119,1.0,3,21-8-2016,85,1303,14826,3.0
1,2,2016-09-13T17:20:25.874+0000,0,sacharya,2016-08-21T19:46:10.476+0000,2016-09-13T17:20:25.464+0000,0,AVRO,13,12,AVRO-1900,301.0,37,6,1,589.577057659,2,2016-08-29T14:23:23.517+0000,7.74864623843,14,2,7.77584538194,Patch Available to In Progress,0.0,35.0,29.0,8.0,2016.0,1306621.947,671833.041,14.082955698278179,2.0,3,29-8-2016,118,1303,14826,3.0
1,2,2016-09-13T17:20:25.874+0000,0,sacharya,2016-08-21T19:46:10.476+0000,2016-09-13T17:20:25.464+0000,0,AVRO,13,12,AVRO-1900,301.0,37,6,1,589.577057659,2,2016-08-29T14:23:23.517+0000,7.74864623843,14,2,7.77584538194,Patch Available to In Progress,0.0,35.0,29.0,8.0,2016.0,1306621.947,671833.041,14.082955698278179,2.0,3,29-8-2016,1,1303,14826,3.0
1,2,2016-09-13T17:20:25.874+0000,0,sacharya,2016-08-21T19:46:10.476+0000,2016-09-13T17:20:25.464+0000,0,AVRO,13,12,AVRO-1900,301.0,37,6,1,589.577057659,2,2016-08-29T14:23:23.517+0000,7.74864623843,14,2,7.77584538194,Patch Available to In Progress,0.0,35.0,29.0,8.0,2016.0,1306621.947,671833.041,14.082955698278179,2.0,3,29-8-2016,4,1303,14826,3.0
